result.feature	result.pvalue	result.fdr	result.coef	result.mean.0	result.mean.1	result.mean.0.w	result.mean.1.w
12q13.11	0.0445743229644413	0.229028289264809	-0.245883353958088	0	0	0.0105722489546001	-0.235311105003488
12q13.12	0.0801208708477946	0.313077352472475	-0.221497886684572	0.0344827586206897	0.0227272727272727	0.0219663823561592	-0.199531504328412
12q13.13	0.00955309391929036	0.106849310241994	-0.348652714876403	0.137931034482759	0.0113636363636364	0.1278255273828	-0.220827187493604
12q13.2	0.0565127517123977	0.266786086764111	-0.242531228804315	0.103448275862069	0.0568181818181818	0.0790455581671077	-0.163485670637207
12q13.3	0.720870785647126	0.897201369853073	-0.0494403233552788	0.103448275862069	0.102272727272727	0.0905255314364969	0.0410852080812188
12q14.1	0.208875718688988	0.485636045951897	-0.167797760483724	0.137931034482759	0.0568181818181818	0.106112188069599	-0.0616855724141244
12q14.1.1	0.393086362962123	0.649325608445425	-0.117312947145021	0.103448275862069	0.125	0.0905255314364969	-0.0267874157085236
12q14.2	0.12186372073739	0.393473680472507	-0.19499766610677	0.0689655172413793	0.0909090909090909	0.0315121961769931	-0.163485469929777
12q14.3	0.633750654904686	0.832537487053191	-0.0695809754881662	0.137931034482759	0.170454545454545	0.146316516981269	0.0767355414931027
12q15	0.47253874555578	0.723961732377993	0.0940036490441851	0.0344827586206897	0.227272727272727	-0.0172677730386991	0.0767358760054864
12q21.1	0.573743180252297	0.797580205731892	-0.0750799087568068	0.0344827586206897	0.227272727272727	0.0478722449009032	-0.0272076638559039
12q21.2	0.748016124814786	0.914132714951052	0.0380387698857748	-0.137931034482759	0.0568181818181818	-0.100719389692449	-0.0626806198066742
12q21.2.1	0.627659511697728	0.830331928703964	0.0572930500059057	-0.206896551724138	0.0227272727272727	-0.11997387052001	-0.0626808205141045
12q21.31	0.241557328218731	0.522437942426557	0.151162621211116	-0.241379310344828	0.0909090909090909	-0.178371087896741	-0.0272084666856247
12q21.32	0.672358104629357	0.864332407039681	0.0555031107173052	-0.206896551724138	0.102272727272727	-0.16874384748296	-0.113240736765656
12q21.33	0.98950284686764	0.99700720215266	-0.0017720587037333	-0.241379310344828	0.0909090909090909	-0.178371087896741	-0.180143146600475
12q22	0.796577908068707	0.938932134985929	0.0330981317260066	-0.241379310344828	0.0454545454545455	-0.178371087896741	-0.145272956170735
12q23.1	0.791406056586242	0.938932134985929	0.0339798433053879	-0.241379310344828	0.0454545454545455	-0.178371087896741	-0.144391244591354
12q23.1.1	0.791405287213751	0.938932134985929	0.0339799771103414	-0.241379310344828	0.0681818181818182	-0.178371087896741	-0.1443911107864
12q23.2	0.873960169506373	0.968752035328876	-0.0211191823174809	-0.206896551724138	0.0568181818181818	-0.124153706950777	-0.145272889268259
12q23.3	0.873958990534986	0.968752035328876	-0.021119383024911	-0.206896551724138	0.0227272727272727	-0.124153706950777	-0.145273089975689
12q24.11	0.251423572643376	0.537526258754804	-0.160900591544178	-0.103448275862069	0.0568181818181818	0.0156277022759208	-0.145272889268259
12q24.12	0.146711787492117	0.414235864714205	-0.206516941189861	-0.0344827586206897	0.0454545454545455	0.0902276941685268	-0.116289247021335
12q24.12.1	0.750693110297718	0.916200252725561	-0.0509193049958768	-0.0344827586206897	0.0795454545454545	0.0902276941685268	0.0393083891726491
12q24.13	0.387044719028949	0.646232654752106	-0.123681940552985	-0.103448275862069	0.0795454545454545	0.0156277022759208	-0.108054238277065
12q24.13.1	0.775744941575988	0.934498017764093	-0.0478927629429438	-0.0689655172413793	0.0909090909090909	0.0872012190180706	0.0393084560751258
12q24.21	0.374833681774201	0.630371291229668	-0.126426943467742	-0.103448275862069	0.0681818181818182	0.0156277022759208	-0.110799241191822
12q24.22	0.4380494689347	0.691657056212684	0.117570316325372	-0.137931034482759	0.0909090909090909	-0.0331522669397715	0.0844180493855987
12q24.23	0.914763577044179	0.981325258418964	-0.0162347040516966	-0.137931034482759	0.0340909090909091	-0.0331522669397715	-0.0493869709914697
12q24.31	0.200223856873011	0.476505495740098	-0.197063309542081	-0.0344827586206897	0.0454545454545455	0.147676405453088	-0.0493869040889929
12q24.32	0.954395240844052	0.984552873966013	0.00766808347713011	-0.137931034482759	0.0227272727272727	-0.0331522669397715	-0.0254841834626414
12q24.32.1	0.341968535335792	0.612703949759071	-0.126136736192508	-0.137931034482759	0	-0.0331522669397715	-0.15928900313228
12q24.33	0.341968535335792	0.612703949759071	-0.126136736192508	-0.137931034482759	0	-0.0331522669397715	-0.15928900313228
