Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29
TCGA-DC-6158-01A-11D-1657-10	52.3997752851847	9.86564808269131	0	0	11.84287121568	0	0	0	0	0	0	10.2972397144532	0	0	0	0	11.6473129521864	0	0	0	0	0	0	0	0	0	1.33590464901803	0
TCGA-DC-6160-01A-11D-1657-10	70.641448556656	0	0	0	1.78299222195633	0	0	0	2.83637759772473	0	0	2.65814454543416	0	25.4785760695323	0	0	0	0	0	0	1.66419373973448	0	0	0	0	0	0	0
TCGA-DC-6681-01A-11D-1826-10	47.9110544087844	0	0	0	14.8483782689586	0	0	0	0	0	0	1.9670125168806	0	9.68377379700219	0	0.516483777059943	0	0	0	1.43188596094462	0	0	0	0	0	0	0	0
TCGA-DC-6682-01A-11D-1826-10	81.6085127812996	0	0	0	29.2895319338132	1.48129022893773	0	0	0	0	0	7.56523650524119	0	0	0	7.65695130464015	7.67576768189259	0	0	0	0	0	0	0	0	0	0	0
TCGA-DC-6683-01A-11D-1826-10	42.4841766544505	0.0107770949878166	0	0	0	0	0	0	0	0	0	3.80227174584612	0	0	0	0.581869340611199	6.97022552282185	0	10.4096135142487	1.83080701599029	0	0	0	6.1648130913989	0	0	0	0.343098455995373
TCGA-DY-A0XA-01A-11D-A152-10	45.5962081582921	0	44.9847589615424	0	0	0	3.87852515962444	0	0	0	0	9.82348547984165	0	0	0	0	0	0	0	0	1.41408245628738	4.94740066608527	12.1003978479272	9.25413288684435	0	0	4.50135565779373	0.74182917974679
TCGA-DY-A1DF-01A-11D-A152-10	95.586578367547	0	0	0	7.49297841263749	0	0	0	4.25192044605857	0	0	6.21181221378375	0	0	0	20.3242211969924	2.12861031609696	0	0	0	5.2793620171452	0	0	0	0	0	0	0
TCGA-DY-A1DG-01A-11D-A152-10	108.380504707092	2.58353432514008	0	0	0	10.4655994847499	11.4189647587494	0	0	0	0	5.7317722924119	0	3.74730341144027	0	2.84624188236868	11.1850665039906	0	0	0	1.7300848996446	0	7.51983550294949	0	0	0	0	2.73329534061054
TCGA-EF-5830-01A-01D-1657-10	42.8520900951426	0	0	0	20.2037945836359	0	0	0	0	0	0	0.54160374033397	0	0	0	2.60533625374426	0	0	0	0	0	0	2.31998945553689	0	0	0	0	7.223707043635
TCGA-EI-6506-01A-11D-1733-10	94.7941803140055	0	0	0	15.7370445002216	0.8011792383676	0	0	1.35019984294207	0	0	2.29416241761646	0	0.590619303510557	0	10.8698016291	0	0	0	0	1.04953180926002	0	0	0	0	0	0	0
TCGA-EI-6508-01A-11D-1733-10	46.7442022418654	4.48922464756004	0	0	0	0	0	0	5.75939352406363	0	0	3.93597088637588	0	28.3812346663928	0	8.28148435669147	1.29468637381531	0	0	0	1.21431094598045	0	7.8083118338152	0	0	0	4.22156422046388	0
TCGA-EI-6509-01A-11D-1733-10	38.9326077141218	0	0	0	10.9559853911866	0	0	0	0	0	0	0.785481944656051	0	0	0	0	4.27072130767907	0	0	0	4.47606389184856	0	0	0	0	0	1.62391260113496	0
TCGA-EI-6510-01A-11D-1733-10	72.834848686951	0	0	0	10.375532651429	2.2251334384146	0	0	0	0	0	0	0	29.3054267560621	0	0.87458341226716	0	0	0	0	2.70563397179052	0	0	0	0	0	0	0
TCGA-EI-6511-01A-11D-1733-10	40.7120914844725	5.97979867613358	0	0.535667863705473	0	1.68815452483568	0	0	6.4726629635772	0	0	0	0	10.5329679297687	0	7.29292298348999	0	0	0	0	0	0	7.75785351701091	0	0	0	0	0
TCGA-EI-6512-01A-11D-1733-10	79.2856656451509	0	0	0	19.447635748719	0	0	0	1.51525323808489	0	0	0.370851313134479	0	23.9672831381726	0	0	0	0	0	0	0.605041097286031	0	0	0	0	0	0	7.14322310949286
TCGA-EI-6513-01A-21D-1733-10	62.7138016066949	4.08978209495912	0.477017549618681	0	0	0	22.0767854661273	13.0638809754683	0	0	0	4.00357196950195	0	21.7590990586353	0	9.88838857775127	0	0	0	0	3.20091049625321	0	4.73399198885885	0	0	0	12.1051177652754	0
TCGA-EI-6881-01A-11D-1924-10	86.7162905150204	0	0	4.42271342042046	0	0	11.9215735182159	0	0	0	0	1.78218319310255	0	12.0609013442173	0	0	0	0	0	0	0.246224925017097	0	0	0	0	0	0	0
TCGA-EI-6883-01A-31D-1924-10	81.3745761657752	0	0	0	0	3.03385807545978	0	0	0	0	0	2.26507217673521	0	8.61880346415315	0	2.12598219107409	0	0	0	0	0	0	0	0	0	0	4.85530201656231	0
TCGA-EI-6884-01A-11D-1924-10	70.5904699922825	0	0	0	17.3216041830106	0	0	0	0	0	0	2.58650117883777	0	0	0	8.92557890094707	10.3536755768938	0	0	0	3.38840596739418	0	0	0	0	0	0	0
TCGA-EI-6885-01A-11D-1924-10	36.5301810974405	0	0	0	36.5079412793703	9.60693328014844	0	0	4.25022950531761	0	0	3.88502709245276	0	0	0	1.03922335291791	0	0	0	2.6736849772984	0.768797387931939	0	0	0	6.20921954471903	0	0	0
TCGA-EI-7002-01A-11D-1924-10	41.0876150901186	0	3.56222495539518	0	11.6635053192507	0	51.6355186895306	0	0.618512995569316	0	0	7.28455390899745	0	36.9353918407768	0	2.73899121067403	0	0	0	0	0	0	0	0	0	0	1.45992860580189	15.2997514492629
TCGA-EI-7004-01A-11D-1924-10	78.5269078716944	0	0	0	5.39085613255243	5.61353090604105	0	0	0	0	0	2.42135211831807	0	0	0	5.86264153538828	19.2497160370204	0	0	0	0	0	0	0	0	0	0	0
TCGA-F5-6464-01A-11D-1733-10	68.4611481398928	0	0	0	0	0	0	0	0	0	0	0.0231425903817158	0.2637941076528	3.98825829787182	0	31.4769550812485	0.487017854692028	0	0	0	0	0	0	0	0	0	0.944821529763159	0
