Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-BT-A3PK-01A-21D-A21Z-08	32.9009997002894	26.0801914613271	37.7537963709272	29.3346972120283	44.7452861425649	3.47933177563526	6.74299297302692	0	0	0	0	0	75.4128438201855	2.70495890182816	10.7336456140088	37.0820775089438	0	0	0	8.09035091657468	0	0.980878198734053	0	0	0	12.0064302655265	0	5.19079777138417	0	6.33325110976503
TCGA-BT-A42C-01A-11D-A23M-08	42.8795588807712	48.3312347220424	118.295395383752	26.4605080009989	0	0	13.8753312805962	0	0	19.6879051045201	0	0	86.7063958726829	0	0	0	0	0	0	0	0	0	14.0132663837106	0	0	0	0	0	0	0
TCGA-BT-A42E-01A-11D-A23U-08	38.2224701275056	22.0892584560383	9.1068712878295	0	0	0	13.1060435533041	0	0	2.86536071396473	0	0	83.51469058322	0	0	0	0	0	0	0	0	0	0	0	0	10.8737600165353	0	0	0	0
TCGA-BT-A42F-01A-11D-A23U-08	3.44838557176572	40.4234133949561	0	0	0	0	16.2547252659022	0	0	1.24231708216373	0	0	92.9133385618131	0	11.134922023872	0	1.22527601465857	0	0	0	4.75628346892059	0.941100589111753	0	1.95839650827809	0	0	0	0	0	0
TCGA-C4-A0EZ-01A-21D-A10S-08	61.1857494534094	13.459573558596	0	0	0	0.263578218103457	17.9559317355205	0	0	18.180324441796	0	9.94284057257746	33.618094874205	0	0	0	0	0	0	3.56730952925504	0	0.336617205697941	0	4.00347119753971	0	0	0	0	0	15.0413294468871
TCGA-C4-A0F0-01A-12D-A10S-08	26.1680447464604	1.69187207590862	0.538056197427315	14.3659082364512	0	0	0	0	0	0	9.54389477008321	0	10.2690010716283	0	0	15.7289512342547	2.74707813413214	0	0	1.09884667279793	0	0.957475198583326	0.556297087800182	0	0	0.786046254413827	0	0	0	0
TCGA-C4-A0F1-01A-11D-A10S-08	48.3660103751862	33.6761122078042	0	0	0	1.29300016118626	22.8284856809488	0	0	12.3073179599647	0	0	45.2280712456743	0	0	0	0	0	0	0	0	0.135672497543437	0	8.23672985849816	0	0	0.014769719385186	0	0	0
TCGA-C4-A0F6-01A-11D-A10S-08	42.3590961657527	14.8445658132819	1.3856218260663	0	0	0	22.5602882659762	0	0	6.25626106517967	1.64638622457345	0	89.784610973645	0	0	21.8963539306317	1.66380321859258	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-C4-A0F7-01A-11D-A10S-08	35.4808441592803	4.29117962601803	6.37171249459047	0	0	0	1.51126255411148	0	0	3.95137714896173	0	0	4.73247371414894	0	0	0	0	0	0	0	0	2.02571234911196	0	0	0	0	0.0983412915266448	0	13.0323534750242	0.606967513701491
TCGA-CF-A1HR-01A-11D-A13W-08	25.6212576212132	64.3622526289948	0	0	0	0	31.383489972944	0	0	20.0204201794736	0	0	110.276070291893	0	0	1.95667103326471	0	0	0	0	4.92532842660179	9.34617801489653	0	0	0	0	0	0	0	0
